dev/kfd	detected	660 root:render
dev/renderD128	detected	660 root:render
dev/renderD129	detected	660 root:render
dev/accel0	UNSUPPORTED	absent
bf16_atomics/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_bfloat16.h
cublas/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocblas
cublaslt/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hipblaslt-version.h
cudnn/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/miopen
cufft/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocfft
cusolver/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hipsolver
cusparse/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocsparse
graphs/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_runtime.h
nccl/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/nccl_device/rccl_ptr.h
ptx_jit/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hiprtc.h
runtime/present	detected	/home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_runtime.h
hrx/present	detected	/tmp/hrx-test/hrx-runtime/lib (libhrx.so.0.1.0)
hrx/device_enum	detected	hrx-info rc=0; GPU accelerator: 1 device
runtime	PASS	dev="AMD Radeon RX 9070 XT" arch=gfx1201 arch_expect=gfx1201 arch_match
numerics	PASS	atomicAdd=16384 half2_dot=ok bf16=ok (int8 dot4 -> see dot4 row)
graphs	PASS	capture 5-node graph + replay = 5 (exact)
ptx_jit	PASS	hiprtc compiled --offload-arch=gfx1201, JIT kernel = 21.0 (exact)
cublas	ERROR	rc=134 no PROBE line: nd  rocBLAS error: Cannot read /home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/lib/rocblas/library/TensileLibrary.dat: No such file or directory for GPU arch : gfx1201  List of available TensileLibrary Files :  
cufft	PASS	c2c fwd N=64 vs naive DFT max_abs=3.81e-06 rel=1.09e-07 (rocFFT)
cusparse	UNSUPPORTED	rocsparse_create_handle failed
cusolver	INCORRECT	LU det=256.000000 cpu det=209.000005 rel=2.249e-01
cudnn	ERROR	rc=134 no PROBE line: nd  rocBLAS error: Cannot read /home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/lib/rocblas/library/TensileLibrary.dat: No such file or directory for GPU arch : gfx1201  List of available TensileLibrary Files :  
int8_dot4	UNSUPPORTED	toolchain rejects sudot4 builtin with runtime operands: /home/bcloud/projects/cuda-amd-census/probe/p_dot4.cpp:36:29: error: argument to '__builtin_amdgcn_sudot4' must be a constant integer
cusolver_diag	INCORRECT	arch=gfx1201 status=OK info=0 ipiv=[0,0,0,0] lu_diag=[4,4,4,4] LU_byte_equal_to_A=YES LUpow_recon_err=3.00e+00 det_lu=256.0000 
runtime/hrx	INCORRECT	add mismatch max_abs=1.999e+00 N=4194304
graphs/hrx	INCORRECT	graph replay produced 0.0, expected 5.0
numerics/hrx	ERROR	hipDeviceSynchronize() -> hipErrorUnknown (999)
cublas/hrx	ERROR	rc=134 no PROBE line: nd  rocBLAS error: Cannot read /home/bcloud/.cache/pip/therock/lib/python3.14/site-packages/_rocm_sdk_devel/lib/rocblas/library/TensileLibrary.dat: No such file or directory for GPU arch : gfx1201  List of available TensileLibrary Files :  
torch	UNSUPPORTED	import torch failed: ModuleNotFoundError: No module named 'torch'
vulkan_compute	PASS	SPIR-V dispatch host[0]=0.500 exact witness=1.0 device="AMD Radeon RX 9070 XT (RADV GFX1201) + AMD Ryzen 7 9800X3D 8-Core Processor (RADV RAPHAEL_MENDOCINO) + llvmpipe (LLVM 21.1.8, 256 bits)" (RADV compute)
