dev/kfd	detected	660 root:render
dev/renderD128	detected	660 root:render
dev/renderD129	UNSUPPORTED	absent
dev/accel0	detected	660 root:render
bf16_atomics/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_bfloat16.h
cublas/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocblas
cublaslt/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hipblaslt
cudnn/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/miopen
cufft/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocfft
cusolver/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hipsolver
cusparse/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocsparse
graphs/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_runtime.h
nccl/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/rocprofiler-sdk/rccl
ptx_jit/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hiprtc.h
runtime/present	detected	/opt/rocm-therock/lib/python3.14/site-packages/_rocm_sdk_devel/include/hip/hip_runtime.h
hrx/present	detected	/opt/hrx/lib (libhrx.so.0.1.0)
loom/present	detected	libloomc.so.0.1.0 (JIT compiler; kernels are specialized at launch)
hrx/device_enum	detected	hrx-info rc=0; GPU accelerator: 1 device
runtime	PASS	dev="AMD Radeon 8060S Graphics" arch=gfx1151 arch_expect=gfx1151 arch_match
numerics	PASS	atomicAdd=16384 half2_dot=ok bf16=ok (int8 dot4 -> see dot4 row)
graphs	PASS	capture 5-node graph + replay = 5 (exact)
ptx_jit	PASS	hiprtc compiled --offload-arch=gfx1151, JIT kernel = 21.0 (exact)
cublas	PASS	sgemm 256x192x288 max_abs=1.72e-05 tol=4.51e-03 (rocBLAS)
cufft	PASS	c2c fwd N=64 vs naive DFT max_abs=3.81e-06 rel=1.09e-07 (rocFFT)
cusparse	PASS	csr spmv 3x3 nnz=5 exact (rocSPARSE)
cusolver	PASS	getrf 4x4 LU det=209.0000 == cpu det=209.0000 rel=0.0e+00 (hipSOLVER)
cudnn	PASS	conv2d fwd 1x2x8x8 k3x3: all-ones PASS (layout-independent); random-case rel=8.2e-01 DISAGREES -> open reference/ordering discrepancy in this probe, NOT a demonstrated backend defect (algo=3 of 1)
int8_dot4	UNSUPPORTED	toolchain rejects sudot4 builtin with runtime operands: /tmp/cuda-amd-census/probe/p_dot4.cpp:36:29: error: argument to '__builtin_amdgcn_sudot4' must be a constant integer
runtime/hrx	PASS	dev="AMD Radeon 8060S Graphics" arch=gfx1151 arch_expect=gfx1151 arch_match
graphs/hrx	PASS	capture 5-node graph + replay = 5 (exact)
numerics/hrx	PASS	atomicAdd=16384 half2_dot=ok bf16=ok (int8 dot4 -> see dot4 row)
cublas/hrx	PASS	sgemm 256x192x288 max_abs=1.72e-05 tol=4.51e-03 (rocBLAS)
torch	UNSUPPORTED	torch 2.13.0+cpu is not a GPU build (hip=None cuda=None is_available=False)
vulkan_compute	PASS	SPIR-V dispatch host[0]=0.500 exact witness=1.0 device="AMD Radeon 8060S Graphics (RADV STRIX_HALO) + llvmpipe (LLVM 21.1.8, 256 bits)" (RADV compute)
